Theta	E
87.398131	1664.704662
87.398131	1714.067191
123.446810	1786.606250
123.446810	1550.724250
123.446810	1785.320674
123.446810	1552.405004
113.916678	1803.597750
113.916678	1582.708250
113.916678	1802.287432
113.916678	1588.019521
114.437194	1802.598250
114.437194	1581.708750
114.437194	1801.012914
114.437194	1584.603437
103.191225	1824.587250
103.191225	1774.612250
103.191225	1611.693750
103.191225	1824.512428
103.191225	1773.093829
103.191225	1641.595527
80.985204	1822.588250
80.985204	1869.564750
80.985204	1685.656750
80.985204	1823.315207
80.985204	1866.066567
80.985204	1722.053731
117.343138	1797.600750
117.343138	1570.714250
117.343138	1663.667750
117.343138	1796.292271
117.343138	1573.695848
117.343138	1664.013655
105.078553	1822.588250
105.078553	1773.612750
105.078553	1609.694750
105.078553	1822.201021
105.078553	1771.742062
105.078553	1638.104505
53.837773	1877.560750
53.837773	1803.597750
53.837773	1877.334024
53.837773	1836.056906
74.600352	1836.581250
74.600352	1886.556250
74.600352	1713.642750
74.600352	1837.330288
74.600352	1880.931826
74.600352	1749.035744
111.001244	1809.594750
111.001244	1759.619750
111.001244	1590.704250
111.001244	1679.659750
111.001244	1809.502572
111.001244	1763.865277
111.001244	1591.863020
111.001244	1685.228095
95.707450	1835.581750
95.707450	1788.605250
95.707450	1636.681250
95.707450	1836.021421
95.707450	1788.487752
95.707450	1663.732863
152.335194	1744.627250
152.335194	1467.765750
152.335194	1740.141269
152.335194	1468.753318
83.858625	1822.588250
83.858625	1868.565250
83.858625	1685.656750
83.858625	1745.626750
83.858625	1822.884598
83.858625	1865.593754
83.858625	1684.219465
83.858625	1747.284225
142.661987	1747.625750
142.661987	1494.752250
142.661987	1476.761250
142.661987	1583.707750
142.661987	1611.693750
142.661987	1751.107778
142.661987	1489.143924
142.661987	331.616006
142.661987	1594.359543
142.661987	1561.690724
98.026784	1835.581750
98.026784	1786.606250
98.026784	1628.685250
98.026784	1683.657750
98.026784	1834.452183
98.026784	1785.862883
98.026784	1629.210789
98.026784	1684.540713
150.026661	1722.638250
150.026661	1432.783250
150.026661	1558.720250
150.026661	1723.083592
150.026661	1438.421850
150.026661	1554.300853
97.464581	1835.581750
97.464581	1785.606750
97.464581	1624.687250
97.464581	1684.657250
97.464581	1834.356132
97.464581	1785.810009
97.464581	1629.708240
97.464581	1692.738342
93.706347	1799.599750
93.706347	1846.576250
93.706347	1644.677250
93.706347	1799.423520
93.706347	1845.173638
93.706347	1679.280182
79.597463	1826.586250
79.597463	1874.562250
79.597463	1692.653250
79.597463	1827.040740
79.597463	1870.124155
79.597463	1735.492265
121.312991	1790.604250
121.312991	1555.721750
121.312991	1789.418455
121.312991	1558.968330
106.153438	1815.591750
106.153438	1768.615250
106.153438	1604.697250
106.153438	1816.050313
106.153438	1769.034350
106.153438	1632.999832
82.993468	1822.588250
82.993468	1868.565250
